complaint_id,customer_id,complaint_text,channel,created_at
C0188,U1059,"Your invoice for order O309452 does not match what I saw at checkout. Please check. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",web,2024-02-08 03:41:16
C0189,U1132,Your agent was rude and ended the chat before solving anything. This was related to order O376955.,chat,2024-11-27 06:12:29
C0190,U1169,I opened order O381342 and found the product cracked on one side. Please let me know what can be done. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation.,web,2025-01-06 02:08:06
C0191,U1082,There is an unexpected fee on my order O606121. Please explain this charge.,web,2025-03-30 14:58:27
C0192,U1226,Why was I billed $26.90 when the listed total for order O429502 was lower?,web,2024-12-04 09:03:01
C0193,U1247,The item in order O503572 arrived damaged and the box was torn. Thanks.,web,2024-09-16 08:06:30
C0194,U1282,"Support has ignored my emails for days and this is unacceptable. Thanks. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page. I am attaching the relevant details from my order history because I do not want to repeat the same information again in another conversation...",email,2024-02-16 21:59:54
C0195,U1317,"Support has ignored my emails for days and this is unacceptable. I have already contacted support once before, but the last reply did not address the actual issue and only pointed me back to the tracking page.",web,2024-07-05 16:28:34
C0196,U1059,"Your invoice for order O102303 does not match what I saw at checkout. Please check. This has been going on for several days now, and I am disappointed because I specifically chose your store based on delivery and support promises.",email,2024-03-02 14:18:17
C0197,U1111,I returned order O851606 last week and still have not received my refund.,email,2024-09-28 01:46:06
C0198,U1284,Please process a refund for order O633025. I do not want a replacement. Thanks.,chat,2024-05-07 09:57:40
C0199,U1204,Part of the item in order O943890 was broken when it got here. At this point I just want a fair resolution without having to keep following up every few days.,chat,2024-12-31 10:34:46
C0200,U1352,I received a damaged unit for order O844904; please advise on replacement.,email,2024-09-30 10:24:37
